ROIs,color_key,Network
functional_parcellation.cluster150,0.5 0 0.5;,7
functional_parcellation.cluster048,0.5 0 0.5;,7
functional_parcellation.cluster070,0.5 0 0.5;,7
functional_parcellation.cluster117,0.5 0 0.5;,7
functional_parcellation.cluster185,0.5 0 0.5;,7
functional_parcellation.cluster122,0.5 0 0.5;,7
functional_parcellation.cluster074,0.5 0 0.5;,7
functional_parcellation.cluster193,0.5 0 0.5;,7
functional_parcellation.cluster075,0.5 0 0.5;,7
functional_parcellation.cluster134,0.5 0 0.5;,7
functional_parcellation.cluster171,0.5 0 0.5;,7
functional_parcellation.cluster089,0.5 0 0.5;,7
functional_parcellation.cluster031,0.5 0 0.5;,7
functional_parcellation.cluster130,0.5 0 0.5;,7
functional_parcellation.cluster154,0.5 0 0.5;,7
functional_parcellation.cluster024,0.7 0.3 0.2;,8
functional_parcellation.cluster105,0.7 0.3 0.2;,8
functional_parcellation.cluster145,0.7 0.3 0.2;,8
functional_parcellation.cluster043,0.7 0.3 0.2;,8
functional_parcellation.cluster062,0.7 0.3 0.2;,8
functional_parcellation.cluster078,0.7 0.3 0.2;,8
functional_parcellation.cluster052,0.7 0.3 0.2;,8
functional_parcellation.cluster114,0.7 0.3 0.2;,8
functional_parcellation.cluster065,0.7 0.3 0.2;,8
functional_parcellation.cluster124,0.7 0.3 0.2;,8
functional_parcellation.cluster038,0.7 0.3 0.2;,8
functional_parcellation.cluster189,0.7 0.3 0.2;,8
functional_parcellation.cluster149,0.7 0.3 0.2;,8
functional_parcellation.cluster012,0.7 0.3 0.2;,8
functional_parcellation.cluster071,0.7 0.3 0.2;,8
functional_parcellation.cluster127,0.7 0.3 0.2;,8
functional_parcellation.cluster118,0.7 0.3 0.2;,8
functional_parcellation.cluster191,0.7 0.3 0.2;,8
functional_parcellation.cluster094,0.7 0.3 0.2;,8
functional_parcellation.cluster143,0.7 0.3 0.2;,8
functional_parcellation.cluster073,0.7 0.3 0.2;,8
functional_parcellation.cluster126,0.7 0.3 0.2;,8
functional_parcellation.cluster037,0.7 0.3 0.2;,8
functional_parcellation.cluster132,0.7 0.3 0.2;,8
functional_parcellation.cluster090,0.7 0.3 0.2;,8
functional_parcellation.cluster157,0.7 0.3 0.2;,8
functional_parcellation.cluster003,0.7 0.3 0.2;,8
functional_parcellation.cluster083,0.7 0.3 0.2;,8
functional_parcellation.cluster044,0.7 0.3 0.2;,8
functional_parcellation.cluster064,0.7 0.3 0.2;,8
functional_parcellation.cluster104,0.7 0.3 0.2;,8
functional_parcellation.cluster022,0.7 0.3 0.2;,8
functional_parcellation.cluster195,0.7 0.3 0.2;,8
functional_parcellation.cluster010,0.7 0.3 0.2;,8
functional_parcellation.cluster026,0.7 0.3 0.2;,8
functional_parcellation.cluster155,0.7 0.3 0.2;,8
functional_parcellation.cluster140,0.7 0.3 0.2;,8
functional_parcellation.cluster109,0.7 0.3 0.2;,8
